Actual / Forecast


"January 03, 2024."

Date,Day Ahead Forecast Pool Price,Real Time Forecast Pool Price,Actual Posted Pool Price, Forecast AIL,Actual AIL,Forecast AIL & Actual AIL Difference,Day Ahead/Real Time Forecast Spread,

,,,,,,,Offer,Bid


"01/03/2024 01","60.83","60.83","83.48","10,215","10,181","34","-","-"
"01/03/2024 02","90.82","90.82","85.18","10,090","10,109","-19","-","-"
"01/03/2024 03","70.50","70.50","68.23","10,050","10,046","4","-","-"
"01/03/2024 04","52.82","52.82","65.73","10,031","10,043","-12","-","-"
"01/03/2024 05","85.56","85.56","91.87","10,067","10,075","-8","-","-"
"01/03/2024 06","251.83","251.83","176.24","10,193","10,168","25","-","-"
"01/03/2024 07","170.25","170.25","100.11","10,472","10,488","-16","-","-"
"01/03/2024 08","54.50","54.50","51.08","10,869","10,831","38","-","-"
"01/03/2024 09","79.66","79.66","83.08","10,982","11,100","-118","-","-"
"01/03/2024 10","71.50","71.50","65.00","11,104","11,134","-30","-","-"
"01/03/2024 11","191.50","191.50","-","11,156","11,194","-38","-","-"
"01/03/2024 12","284.72","284.72","-","11,181","-","-","-","-"
"01/03/2024 13","52.71","52.71","-","11,126","-","-","-","-"
"01/03/2024 14","52.87","52.87","-","11,077","-","-","-","-"
"01/03/2024 15","-","-","-","11,044","-","-","-","-"
"01/03/2024 16","-","-","-","11,053","-","-","-","-"
"01/03/2024 17","-","-","-","11,180","-","-","-","-"
"01/03/2024 18","-","-","-","11,385","-","-","-","-"
"01/03/2024 19","-","-","-","11,266","-","-","-","-"
"01/03/2024 20","-","-","-","11,129","-","-","-","-"
"01/03/2024 21","-","-","-","10,975","-","-","-","-"
"01/03/2024 22","-","-","-","10,749","-","-","-","-"
"01/03/2024 23","-","-","-","10,466","-","-","-","-"
"01/03/2024 24","-","-","-","10,198","-","-","-","-"
"01/04/2024 01","-","-","-","10,040","-","-","-","-"
"01/04/2024 02","-","-","-","9,953","-","-","-","-"
"01/04/2024 03","-","-","-","9,899","-","-","-","-"
"01/04/2024 04","-","-","-","9,885","-","-","-","-"
"01/04/2024 05","-","-","-","9,920","-","-","-","-"
"01/04/2024 06","-","-","-","10,069","-","-","-","-"


